id,composition,Natom,Nelem,D,Nmag,CS,SG,E,M,MR,MSVL,dmean,dstd,ehull
mp-9833,Pr1 Ga1 O3,5,3,19.507563056001338,3,1,221,2.862,51.724000000000004,0.0,4.603177,3.042085975032793,0.5299719261497072,1.4744034378571431
mp-759744,Mn8 Fe8 O24,40,3,10.960427948853473,22,6,1,3.0,31.758,2.0,9.55207388477557,5.386839098808454,2.030260756647457,0.0665825984375008
mp-22341,Pr4 Fe4 O12,20,3,12.12279208132622,16,2,62,3.156,48.95,0.5,7.82389895,4.56676425721141,1.578800760357833,0.0
mp-1186920,Sb1 Au1 O3,5,3,12.823024992216045,0,1,221,2.8720000000000003,73.36,0.5,4.002397,2.6450505336234795,0.4608030599965654,0.37600113766666254
mp-761337,Sr6 Cr6 O18,30,3,12.157698223776768,6,2,40,2.724,37.524,0.5,13.68560739635607,5.952948847398835,2.836552827659386,0.05763595893750306
mp-27818,Mn8 S8 O24,40,3,14.172101858055356,8,7,14,2.714,27.002,0.5,12.441068,6.149736075806165,2.455792872238545,0.07243686278571104
mp-1078871,La2 Ga2 O6,10,3,12.169108631106907,0,5,161,3.016,51.324,0.0,7.773720731513369,3.976808499686474,1.9178424455740848,0.03859535814286108
mp-1281591,Sr4 Ni4 O12,20,3,11.753436671759449,16,2,65,2.7920000000000003,38.862,0.5,9.963436442252439,5.187897564042209,2.1893757638426767,0.05882519349999349
mp-1106293,Eu4 Zr4 O12,20,3,13.710893952022042,4,2,62,3.182,58.24400000000001,0.5,8.165923400025937,4.718039548613806,1.7547669439669138,0.0
mp-768310,La2 Bi2 O6,10,3,17.444004834340713,0,5,161,2.89,79.176,0.0,8.86988276199331,4.61853148709855,2.169189009537871,0.035194460599999644
mp-1183701,Ce1 Ta1 O3,5,3,13.332175920403339,1,1,221,4.044,73.8,0.0,4.054684,2.679605266012987,0.4668229549740104,0.3513243196060607
mp-4853,Ca4 Si4 O12,20,3,9.393294905711766,0,4,139,2.854,23.234,0.5,7.221975999999998,4.109768961933695,1.4955471100878666,0.24371033216665872
mp-973869,La1 Cd1 O3,5,3,14.609977293424881,0,1,221,2.686,59.86,0.5,4.180291,2.7626147381810022,0.481284311495362,0.4118065005
mp-1184051,Cu1 Bi1 O3,5,3,11.413840830770882,0,1,221,2.694,64.106,0.5,3.850058,2.5443747752612618,0.44326400093850177,0.17206631006250195
mp-1017465,Ba1 V1 O3,5,3,12.632591185906389,1,1,221,3.002,47.248000000000005,0.5,3.982485,2.631891357703272,0.4585105561468346,0.11491591899998443
mp-22535,Hf1 Pb1 O3,5,3,14.35138774942023,0,1,221,3.2540000000000004,86.74,0.5,4.155481,2.74621863760947,0.47842789222498106,0.040278400312494966
mp-1187065,Sn1 Ge1 O3,5,3,11.540392636772236,0,1,221,2.958,47.866,0.0,3.864235,2.553743881178335,0.4448962240741805,0.27326926199999946
mp-1184939,K1 Li1 O3,5,3,13.273795769584973,3,1,221,2.0728,18.808,2.0,4.048757,2.6756883096209085,0.46614056895967954,0.49840937100000104
mp-734059,S8 N8 O24,40,3,15.87828364060781,8,2,61,3.114,18.816,0.0,9.319157,5.694095518844852,2.0364073740774065,1.0238355369166605
mp-981132,Tb1 Ge1 O3,5,3,12.008676947778312,0,1,221,3.14,55.90599999999999,0.0,3.915811,2.5878287374087803,0.450834260361531,0.6164286589062424
mp-1187147,Sr1 Er1 O3,5,3,16.290840873372492,4,1,221,2.5620000000000003,60.584,0.0,4.334821,2.8647384552837365,0.49907562426650115,0.2229598522499998
mp-1100778,Zn1 Cu1 O3,5,3,10.422006679358098,0,1,221,2.528,35.386,2.0,3.735142,2.4684306280110313,0.4300335181946447,0.6082727132499999
mp-1197269,Hg12 N12 O36,60,3,15.835697585470403,0,1,213,2.678,52.522000000000006,0.5,9.830965,6.5430246759657,2.3723718137976175,0.22121220099999483
mp-12631,Sr1 Tc1 O3,5,3,12.442351802652151,1,1,221,3.274,46.724000000000004,0.0,3.96240069,2.618612899767906,0.45619727178760444,0.07709823300000096
mp-977058,Np1 B1 O3,5,3,9.140125458533214,1,1,221,3.668,59.162,0.0,3.575258,2.362768631083226,0.41162578991469373,0.8432484849791653
mp-755138,Nd4 In4 O12,20,3,13.697235869532225,0,2,62,2.744,61.4,0.0,8.17509696,4.688935052259161,1.619680460121872,0.0
mp-4419,Na2 Nb2 O6,10,3,12.481392265583448,0,4,127,3.2966,32.779999999999994,0.5,5.573516,3.438000229536135,1.084769966216187,0.03085902499999804
mp-7560,Lu2 B2 O6,10,3,10.998367787860555,0,5,167,3.6079999999999997,46.762,0.0,9.239235728837334,4.58026708664183,2.335246667614103,0.0
mp-4514,Na2 Nb2 O6,10,3,12.169003756668433,0,5,161,3.2966,32.779999999999994,0.5,8.019323268237997,4.033749214443749,1.9693715653883412,0.0
mp-635067,K2 Sb2 O6,10,3,16.136158055764504,0,6,2,2.2968,41.78,0.5,7.623758865967785,3.6815238461128197,1.219245373683359,0.9125581640000009
mp-770413,La4 Ho4 O12,20,3,15.624128537031973,0,7,14,3.082,70.36,0.0,8.510658283236546,4.9928489998980865,1.7554365238460157,0.08030729149999871
mp-545999,Ag2 Sb2 O6,10,3,13.76369853909369,0,5,148,2.7,55.54,0.0,9.645439853416576,4.502272436063477,1.882180119205155,0.01676315999999911
mp-1183681,Co1 Sb1 O3,5,3,10.67189481866718,0,1,221,2.9880000000000004,45.745999999999995,0.5,3.764759,2.4880035143724615,0.4334433758943977,0.5800262838749992
mp-1272234,Co2 Ni2 O6,10,3,9.602910678797516,4,6,1,3.3260000000000005,33.124,2.0,7.215935965184879,3.2238576373450174,0.8903951098090725,0.0236176609999994
mp-756166,La4 Ho4 O12,20,3,15.327598223719955,0,2,62,3.082,70.36,0.0,8.575969,4.862502346067751,1.6882954879794247,0.03363754849999978
mp-1184946,K1 Zn1 O3,5,3,13.669007422713372,3,1,221,2.0168000000000004,30.496,2.0,4.088547,2.701984191996615,0.4707216621788837,0.3663459960000015
mp-1181854,Hf8 Pb8 O24,40,3,15.377018418871273,0,2,55,3.2540000000000004,86.74,0.5,11.475254,6.164597840146948,2.370698139232002,0.2775368393124964
mp-1435972,Y1 Co1 O3,5,3,10.852096949163801,0,1,221,3.3120000000000003,39.168,0.5,3.785831,2.5019292955592136,0.4358694325999787,0.23033052950001576
mp-1245147,Cr16 Fe16 O48,80,3,12.783955897648301,33,6,1,3.2359999999999998,31.169999999999998,2.0,10.94940299564686,6.795882712424234,2.5144724900169053,0.4584400442499881
mp-974061,K1 Si1 O3,5,3,9.992245567970063,0,1,221,2.6728,23.038,0.5,3.683079,2.43402392974196,0.4240394127341916,0.4705710442499953
